GO-ID	Term	Category	FDR	P-Value	#Test	#Ref	#notAnnotTest	#notAnnotRef	Over/Under	TestSeqs	RefSeqs
GO:0031514	motile cilium	C	2.634273E-7	3.308141E-11	9	14	619	39842	OVER	mz.mrna.s1.13.1, mz.mrna.s1.13.13, mz.mrna.s1.13.3, mz.mrna.s1.13.4, mz.mrna.s1.13.6, mz.mrna.s1.13.17, mz.mrna.s1.13.8, mz.mrna.s1.13.9, mz.mrna.s1.13.18	mz.mrna.s1.13.12, mz.mrna.s1.13.2, mz.mrna.s1.13.10, mz.mrna.s1.13.11, mz.mrna.s1.13.16, mz.mrna.s1.13.5, mz.mrna.s1.13.14, mz.mrna.s1.13.7, mz.mrna.s1.13.15, mz.mrna.s7.30.1, mz.mrna.s46.51.3, mz.mrna.s0.35.1, mz.mrna.s7.4.1, mz.mrna.s46.51.4	
GO:0032947	protein complex scaffold	F	4.514449E-5	1.133856E-8	13	93	615	39763	OVER	mz.mrna.s12.94.22, mz.mrna.s12.94.10, mz.mrna.s12.94.21, mz.mrna.s12.94.8, mz.mrna.s12.94.9, mz.mrna.s12.94.15, mz.mrna.s12.94.16, mz.mrna.s12.94.4, mz.mrna.s12.94.17, mz.mrna.s119.33.6, mz.mrna.s119.33.7, mz.mrna.s17.131.1, mz.mrna.s119.33.1	mz.mrna.s12.94.11, mz.mrna.s12.94.12, mz.mrna.s12.94.13, mz.mrna.s12.94.14, mz.mrna.s12.94.19, mz.mrna.s65.83.3, mz.mrna.s65.83.2, mz.mrna.s45.110.1, mz.mrna.s45.110.2, mz.mrna.s12.94.18, mz.mrna.s3.78.1, mz.mrna.s65.83.1, mz.mrna.s32.203.12, mz.mrna.s159.20.2, mz.mrna.s32.203.11, mz.mrna.s159.20.3, mz.mrna.s32.203.10, mz.mrna.s32.203.14, mz.mrna.s32.203.13, mz.mrna.s12.94.20, mz.mrna.s10.306.19, mz.mrna.s10.306.17, mz.mrna.s12.74.1, mz.mrna.s10.306.18, mz.mrna.s10.306.15, mz.mrna.s10.306.16, mz.mrna.s10.306.13, mz.mrna.s10.306.14, mz.mrna.s10.306.11, mz.mrna.s10.306.12, mz.mrna.s10.306.10, mz.mrna.s10.60.1, mz.mrna.s32.203.1, mz.mrna.s32.203.4, mz.mrna.s15.68.3, mz.mrna.s32.203.5, mz.mrna.s15.68.2, mz.mrna.s10.306.1, mz.mrna.s32.203.2, mz.mrna.s15.68.1, mz.mrna.s32.203.3, mz.mrna.s32.203.8, mz.mrna.s10.306.4, mz.mrna.s32.203.9, mz.mrna.s28.57.4, mz.mrna.s10.306.5, mz.mrna.s32.203.6, mz.mrna.s28.57.3, mz.mrna.s10.306.2, mz.mrna.s32.203.7, mz.mrna.s28.57.2, mz.mrna.s15.68.4, mz.mrna.s19.130.8, mz.mrna.s10.306.3, mz.mrna.s28.57.1, mz.mrna.s119.33.3, mz.mrna.s19.130.7, mz.mrna.s10.306.8, mz.mrna.s119.33.4, mz.mrna.s19.130.6, mz.mrna.s10.306.9, mz.mrna.s119.33.5, mz.mrna.s19.130.5, mz.mrna.s10.306.6, mz.mrna.s19.130.4, mz.mrna.s10.306.7, mz.mrna.s19.130.3, mz.mrna.s19.130.2, mz.mrna.s19.130.1, mz.mrna.s10.306.22, mz.mrna.s17.131.3, mz.mrna.s10.306.23, mz.mrna.s17.131.4, mz.mrna.s102.650001.5, mz.mrna.s10.306.20, mz.mrna.s10.306.21, mz.mrna.s17.131.2, mz.mrna.s17.131.7, mz.mrna.s17.131.8, mz.mrna.s17.131.5, mz.mrna.s119.33.2, mz.mrna.s17.131.6, mz.mrna.s150.24.1, mz.mrna.s150.24.2, mz.mrna.s102.650001.3, mz.mrna.s102.650001.4, mz.mrna.s12.94.6, mz.mrna.s12.75.1, mz.mrna.s12.94.7, mz.mrna.s12.94.5, mz.mrna.s12.94.2, mz.mrna.s12.94.3, mz.mrna.s12.94.1	
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	F	2.092864E-4	7.884708E-8	7	18	621	39838	OVER	mz.mrna.s240.2.1, mz.mrna.s24.176.1, mz.mrna.s240.2.7, mz.mrna.s240.2.3, mz.mrna.s240.2.2, mz.mrna.s240.2.5, mz.mrna.s240.2.4	mz.mrna.s0.222.1, mz.mrna.s31.20.1, mz.mrna.s0.222.3, mz.mrna.s0.222.2, mz.mrna.s0.222.5, mz.mrna.s0.222.4, mz.mrna.s31.20.2, mz.mrna.s31.20.3, mz.mrna.s18.119.1, mz.mrna.s204.9.1, mz.mrna.s204.7.3, mz.mrna.s204.7.4, mz.mrna.s204.7.1, mz.mrna.s204.7.2, mz.mrna.s204.8.1, mz.mrna.s0.333.1, mz.mrna.s240.2.6, mz.mrna.s23.124.1	
GO:0015924	mannosyl-oligosaccharide mannosidase activity	F	2.119208E-4	1.064528E-7	7	19	621	39837	OVER	mz.mrna.s240.2.1, mz.mrna.s24.176.1, mz.mrna.s240.2.7, mz.mrna.s240.2.3, mz.mrna.s240.2.2, mz.mrna.s240.2.5, mz.mrna.s240.2.4	mz.mrna.s0.222.1, mz.mrna.s31.20.1, mz.mrna.s0.222.3, mz.mrna.s0.222.2, mz.mrna.s0.222.5, mz.mrna.s0.222.4, mz.mrna.s31.20.2, mz.mrna.s31.20.3, mz.mrna.s18.119.1, mz.mrna.s204.9.1, mz.mrna.s204.7.3, mz.mrna.s204.7.4, mz.mrna.s204.7.1, mz.mrna.s204.7.2, mz.mrna.s204.8.1, mz.mrna.s0.333.1, mz.mrna.s240.2.6, mz.mrna.s1.245.1, mz.mrna.s23.124.1	
GO:0005007	fibroblast growth factor-activated receptor activity	F	2.318698E-4	1.45592E-7	6	11	622	39845	OVER	mz.mrna.s45.12.7, mz.mrna.s45.12.1, mz.mrna.s45.12.5, mz.mrna.s45.12.4, mz.mrna.s45.13.2, mz.mrna.s45.13.1	mz.mrna.s9.23.1, mz.mrna.s45.12.6, mz.mrna.s49.72.1, mz.mrna.s62.40.1, mz.mrna.s39.71.1, mz.mrna.s39.70.1, mz.mrna.s45.13.3, mz.mrna.s62.40.2, mz.mrna.s45.12.3, mz.mrna.s9.24.1, mz.mrna.s45.12.2	
GO:0016154	pyrimidine-nucleoside phosphorylase activity	F	3.222344E-4	2.832652E-7	4	1	624	39855	OVER	mz.mrna.s119.34.2, mz.mrna.s119.34.3, mz.mrna.s119.34.5, mz.mrna.s119.34.1	mz.mrna.s119.34.4	
GO:0005577	fibrinogen complex	C	3.222344E-4	2.832652E-7	4	1	624	39855	OVER	mz.mrna.s212.2.3, mz.mrna.s212.2.1, mz.mrna.s212.3.1, mz.mrna.s212.2.2	mz.mrna.s736.3.1	
GO:0009396	folic acid-containing compound biosynthetic process	P	4.362219E-4	4.382488E-7	6	14	622	39842	OVER	mz.mrna.s45.16.2, mz.mrna.s242.5.2, mz.mrna.s45.16.1, mz.mrna.s242.5.1, mz.mrna.s227.2.1, mz.mrna.s227.2.2	mz.mrna.s77.51.1, mz.mrna.s77.500001.1, mz.mrna.s9.3250001.1, mz.mrna.s72.7.1, mz.mrna.s3.493.2, mz.mrna.s5.8.1, mz.mrna.s72.7.2, mz.mrna.s159.5.1, mz.mrna.s14.29.1, mz.mrna.s3.493.1, mz.mrna.s5.8.2, mz.mrna.s72.7.3, mz.mrna.s145.23.2, mz.mrna.s145.23.1	
GO:0004559	alpha-mannosidase activity	F	6.916789E-4	7.817543E-7	7	27	621	39829	OVER	mz.mrna.s240.2.1, mz.mrna.s24.176.1, mz.mrna.s240.2.7, mz.mrna.s240.2.3, mz.mrna.s240.2.2, mz.mrna.s240.2.5, mz.mrna.s240.2.4	mz.mrna.s0.222.1, mz.mrna.s31.20.1, mz.mrna.s0.222.3, mz.mrna.s0.222.2, mz.mrna.s0.222.5, mz.mrna.s0.222.4, mz.mrna.s31.20.2, mz.mrna.s31.20.3, mz.mrna.s89.34.1, mz.mrna.s204.9.1, mz.mrna.s204.7.3, mz.mrna.s204.7.4, mz.mrna.s204.7.1, mz.mrna.s204.7.2, mz.mrna.s204.8.1, mz.mrna.s0.333.1, mz.mrna.s240.2.6, mz.mrna.s32.53.1, mz.mrna.s1.245.1, mz.mrna.s32.53.2, mz.mrna.s23.124.1, mz.mrna.s77.35.1, mz.mrna.s285.14.1, mz.mrna.s285.14.2, mz.mrna.s83.29.1, mz.mrna.s285.14.3, mz.mrna.s18.119.1	
GO:0031175	neuron projection development	P	9.506973E-4	1.193893E-6	14	169	614	39687	OVER	mz.mrna.s219.2.2, mz.mrna.s219.2.1, mz.mrna.s45.5.1, mz.mrna.s85.20.1, mz.mrna.s119.33.6, mz.mrna.s15.43.1, mz.mrna.s119.33.7, mz.mrna.s207.8.5, mz.mrna.s207.8.6, mz.mrna.s219.50001.1, mz.mrna.s207.8.7, mz.mrna.s207.8.1, mz.mrna.s207.8.2, mz.mrna.s119.33.1	mz.mrna.s52.94.1, mz.mrna.s5.320.5, mz.mrna.s10.153.1, mz.mrna.s8.23.1, mz.mrna.s55.59.2, mz.mrna.s17.83.2, mz.mrna.s17.83.1, mz.mrna.s81.131.1, mz.mrna.s17.83.3, mz.mrna.s6.133.1, mz.mrna.s85.2.2, mz.mrna.s18.87.1, mz.mrna.s85.2.1, mz.mrna.s292.8.2, mz.mrna.s4.225.1, mz.mrna.s292.8.4, mz.mrna.s28.187.1, mz.mrna.s0.10.1, mz.mrna.s85.2.3, mz.mrna.s3.163.1, mz.mrna.s72.66.1, mz.mrna.s60.120001.1, mz.mrna.s13.73.3, mz.mrna.s89.28.1, mz.mrna.s94.117.6, mz.mrna.s54.14.4, mz.mrna.s215.16.2, mz.mrna.s113.43.1, mz.mrna.s326.8.1, mz.mrna.s113.47.1, mz.mrna.s53.74.1, mz.mrna.s29.30.3, mz.mrna.s29.30.2, mz.mrna.s57.109.1, mz.mrna.s29.30.1, mz.mrna.s1.255.1, mz.mrna.s2.244.1, mz.mrna.s1.255.4, mz.mrna.s156.13.1, mz.mrna.s29.30.5, mz.mrna.s29.30.4, mz.mrna.s94.10.1, mz.mrna.s122.12.1, mz.mrna.s5.323.4, mz.mrna.s253.12.2, mz.mrna.s14.188.1, mz.mrna.s5.323.1, mz.mrna.s75.36.1, mz.mrna.s76.5.4, mz.mrna.s9.125.1, mz.mrna.s76.5.1, mz.mrna.s197.50.1, mz.mrna.s8.220001.1, mz.mrna.s176.33.5, mz.mrna.s25.14.1, mz.mrna.s176.33.4, mz.mrna.s94.10.2, mz.mrna.s176.33.3, mz.mrna.s86.12.1, mz.mrna.s176.33.2, mz.mrna.s119.33.3, mz.mrna.s119.33.4, mz.mrna.s137.23.1, mz.mrna.s119.33.5, mz.mrna.s61.81.2, mz.mrna.s61.81.1, mz.mrna.s191.20.1, mz.mrna.s1050.1.1, mz.mrna.s95.27.1, mz.mrna.s13.141.1, mz.mrna.s32.92.4, mz.mrna.s9.174.1, mz.mrna.s119.33.2, mz.mrna.s36.134.1, mz.mrna.s54.11.2, mz.mrna.s54.11.1, mz.mrna.s112.31.2, mz.mrna.s230.6.1, mz.mrna.s6.157.1, mz.mrna.s326.7.1, mz.mrna.s106.32.1, mz.mrna.s37.52.1, mz.mrna.s5.303.4, mz.mrna.s183.3.3, mz.mrna.s247.1.22, mz.mrna.s53.80.2, mz.mrna.s25.158.5, mz.mrna.s37.5.3, mz.mrna.s6.173.1, mz.mrna.s37.5.2, mz.mrna.s183.3.2, mz.mrna.s37.5.1, mz.mrna.s360.5.1, mz.mrna.s107.1.2, mz.mrna.s248.7.1, mz.mrna.s7.133.5, mz.mrna.s1.343.1, mz.mrna.s7.133.4, mz.mrna.s1.343.2, mz.mrna.s7.133.3, mz.mrna.s7.133.2, mz.mrna.s63.13.2, mz.mrna.s138.16.1, mz.mrna.s147.8.1, mz.mrna.s247.1.10, mz.mrna.s147.8.2, mz.mrna.s73.8.1, mz.mrna.s169.16.1, mz.mrna.s36.133.3, mz.mrna.s19.43.1, mz.mrna.s7.133.1, mz.mrna.s73.8.5, mz.mrna.s247.1.19, mz.mrna.s65.77.1, mz.mrna.s19.179.2, mz.mrna.s176.33.1, mz.mrna.s7.2480001.1, mz.mrna.s133.14.1, mz.mrna.s109.16.2, mz.mrna.s109.16.1, mz.mrna.s114.16.4, mz.mrna.s28.800001.1, mz.mrna.s114.16.3, mz.mrna.s57.126.1, mz.mrna.s114.16.2, mz.mrna.s114.16.1, mz.mrna.s1.194.1, mz.mrna.s60.55.1, mz.mrna.s30.76.3, mz.mrna.s12.203.1, mz.mrna.s31.28.1, mz.mrna.s30.76.2, mz.mrna.s113.47.3, mz.mrna.s12.203.2, mz.mrna.s10.154.1, mz.mrna.s30.76.1, mz.mrna.s113.47.2, mz.mrna.s60.55.2, mz.mrna.s17.46.1, mz.mrna.s53.47.1, mz.mrna.s7.81.1, mz.mrna.s4.226.1, mz.mrna.s245.4.1, mz.mrna.s116.34.6, mz.mrna.s98.6.3, mz.mrna.s98.6.1, mz.mrna.s98.6.2, mz.mrna.s100.80.1, mz.mrna.s6.287.1, mz.mrna.s65.106.2, mz.mrna.s65.106.3, mz.mrna.s27.61.1, mz.mrna.s146.36.1, mz.mrna.s65.106.1, mz.mrna.s36.159.1, mz.mrna.s65.106.4, mz.mrna.s22.214.2, mz.mrna.s22.214.1, mz.mrna.s142.24.1, mz.mrna.s142.24.2, mz.mrna.s142.24.3, mz.mrna.s72.31.1, mz.mrna.s72.31.2, mz.mrna.s87.11.4, mz.mrna.s45.75.4, mz.mrna.s207.8.3, mz.mrna.s45.75.2, mz.mrna.s191.18.1, mz.mrna.s207.8.4	
