chrom	bp	SNPID	avg_rank	med_rank	p20_rank	std_rank	var_rank	mad_rank	avg_rank_rel	med_rank_rel	p20_rank_rel	var_rank_rel	var_rank_weight	var_weighted_avg_rank	var_weighted_rel_avg_rank
scaffold_0	80430	813	3369.45	2763.5	1355.4	2618.86125014	6858434.2475	1082.0	0.285885796708	0.234473103682	0.115000848464	0.4061836947	0.5938163053	2000.83434989	0.169763647539
scaffold_0	80558	812	2596.95	1889.5	577.8	2510.80850475	6304159.3475	1264.5	0.220341931105	0.160317325641	0.0490242660784	0.373357335412	0.626642664588	1627.3596678	0.138075654828
scaffold_0	168243	316	5260.05	5161.0	4030.2	1316.53581322	1733266.5475	912.0	0.446296453419	0.437892414729	0.341948073986	0.10265092363	0.89734907637	4720.10100916	0.400483710263
scaffold_0	207363	450	6935.1	6784.0	5568.8	1454.55680192	2115735.49	1208.5	0.588418462583	0.575598167317	0.472492788054	0.125302252282	0.874697747718	6066.1163502	0.514688303937
scaffold_0	225759	467	3699.35	3061.5	2486.2	1721.200955	2962532.7275	841.5	0.313876633294	0.259757339216	0.210945189208	0.175452945308	0.824547054692	3050.28814677	0.258806053519
scaffold_0	341017	511	7812.45	7814.0	6957.8	1623.35527458	2635282.3475	918.0	0.662858476158	0.662989988122	0.590344476498	0.15607187907	0.84392812093	6593.14624836	0.559404908227
scaffold_0	502808	612	9535.85	9742.0	8953.4	1579.60878938	2495163.9275	893.0	0.809082810114	0.826573901239	0.759664008145	0.14777351016	0.85222648984	8126.70397314	0.689521803253
scaffold_0	633622	687	9689.5	10126.5	7563.4	1532.32240407	2348011.95	1254.0	0.822119463771	0.859197352791	0.641727473273	0.139058586061	0.860941413939	8342.09183036	0.707796693565
scaffold_0	697373	745	8124.75	7947.0	7173.6	1433.5771997	2055143.5875	747.5	0.689356015612	0.674274563041	0.608654335652	0.121713759349	0.878286240651	7135.85613373	0.605451903422
scaffold_0	821164	820	3196.05	2723.0	1067.0	2162.82607888	4677816.6475	1560.5	0.271173426099	0.23103682335	0.0905311386391	0.277038866372	0.722961133628	2310.61993113	0.196047847542
scaffold_0	875953	857	9734.75	9739.5	8787.8	1443.80444919	2084571.2875	975.0	0.825958764636	0.826361785169	0.745613439674	0.12345658453	0.87654341547	8532.93101374	0.723988716591
scaffold_0	918804	876	3868.25	3283.5	2201.8	2285.00481126	5221246.9875	1256.0	0.328207194977	0.278593246224	0.186814865094	0.309222967778	0.690777032222	2672.09825489	0.2267179921
scaffold_0	937818	886	2969.95	2450.0	1339.8	2303.39624197	5305634.2475	1041.0	0.251989648736	0.207873748515	0.113677244188	0.314220716217	0.685779283783	2036.73018387	0.172809280831
scaffold_0	948672	893	6329.85	5648.0	4838.8	2313.17029799	5350756.8275	1424.0	0.537065162057	0.479212625148	0.410554895639	0.316893054479	0.683106945521	4323.9644991	0.366872942398
scaffold_0	959703	898	9661.05	9148.5	8672.8	1187.4633247	1410069.1475	970.0	0.819705582895	0.776217546241	0.735856100458	0.0835098909526	0.916490109047	8854.25676801	0.751252059054
scaffold_0	959745	897	5025.45	5309.5	2822.8	2097.7600548	4400597.2475	2159.0	0.426391481419	0.450492109282	0.239504496861	0.260620833323	0.739379166677	3715.71303318	0.315264978209
scaffold_0	973149	907	5711.6	5264.0	3016.2	3110.4548124	9674929.14	2115.5	0.484608857967	0.44663159681	0.255913796029	0.57298769985	0.42701230015	2438.92345354	0.206933943114
scaffold_0	973178	906	8335.95	7779.0	7110.0	1993.591294	3974406.2475	988.0	0.707275581198	0.660020363143	0.603258102834	0.23538011091	0.76461988909	6373.83316446	0.540796976451
scaffold_0	975628	911	2517.35	1861.0	452.6	2619.77230451	6863206.9275	1345.5	0.213588155439	0.157899202444	0.0384014932971	0.406466351751	0.593533648249	1494.13192942	0.12677175712
scaffold_0	977833	912	4764.8	3867.0	2926.0	2906.24244687	8446245.16	820.5	0.404276259969	0.328101136942	0.248260648227	0.500220158367	0.499779841633	2381.35098941	0.202049125184
scaffold_0	1085051	42	5712.05	5246.5	3833.2	2376.07816528	5645747.4475	1428.0	0.48464703886	0.44514678432	0.325233327677	0.334363569703	0.665636430297	3802.14857168	0.3225987249
scaffold_0	1188229	80	8622.65	8692.0	7221.4	1666.7239506	2777968.7275	1288.0	0.731601052096	0.737485151875	0.612709994909	0.164522332763	0.835477667237	7204.0315074	0.611236340353
scaffold_0	1382574	148	7043.5	7160.0	5505.4	2200.22429538	4840986.95	1490.5	0.597615815374	0.607500424232	0.467113524521	0.286702459248	0.713297540752	5024.11122829	0.426277891421
scaffold_0	1382653	147	9474.6	9697.5	8792.2	954.054317112	910219.64	573.0	0.803885966401	0.822798235194	0.745986763957	0.0539068194025	0.946093180598	8963.85444889	0.76055103079
scaffold_0	1478806	183	7396.3	7523.5	5277.6	2344.04170398	5494531.51	2190.0	0.62754963516	0.638342100798	0.44778550823	0.325407961765	0.674592038235	4989.4850924	0.423339987476
scaffold_0	1770695	359	6586.6	6253.0	4460.6	2504.69460015	6273495.04	1773.0	0.558849482437	0.530544714068	0.378465976582	0.371541273427	0.628458726573	4139.40624845	0.351213834078
