chrom	bp	SNPID	avg_rank	med_rank	p20_rank	std_rank	var_rank	mad_rank	avg_rank_rel	med_rank_rel	p20_rank_rel	var_rank_rel	var_rank_weight	var_weighted_avg_rank	var_weighted_rel_avg_rank
scaffold_0	80430	813	3804.45	3209.0	2395.6	1864.4215316	3476067.6475	1251.0	0.322793992873	0.272272187341	0.203258102834	0.198705912201	0.801294087799	3048.48329233	0.258652918066
scaffold_0	80558	812	2065.05	637.0	168.6	2957.03238865	8744040.5475	596.0	0.17521211607	0.0540471746139	0.014305107755	0.499844286565	0.500155713435	1032.84655603	0.0876333409154
scaffold_0	168243	316	7357.15	7094.5	5983.8	2145.8093642	4604497.8275	1057.5	0.624227897506	0.6019429832	0.507704055659	0.263211488908	0.736788511092	5420.66359438	0.459923943185
scaffold_0	207363	450	9111.9	9519.0	7277.2	1734.30109554	3007800.29	1725.5	0.773112166978	0.807653147802	0.61744442559	0.17193787951	0.82806212049	7545.21923569	0.640184900364
scaffold_0	225759	467	5937.65	4636.5	3175.0	3276.04666137	10732481.7275	1750.5	0.503788393009	0.393390463261	0.26938740879	0.613511527424	0.386488472576	2294.83327919	0.194708406515
scaffold_0	341017	511	8934.75	8341.5	7709.4	1658.54502125	2750771.5875	1137.5	0.758081622264	0.707746478873	0.654115051756	0.15724509215	0.84275490785	7529.80441291	0.638877007713
scaffold_0	502808	612	9168.7	9341.0	7942.6	1079.51577571	1165354.31	907.5	0.777931444086	0.792550483625	0.673901238758	0.066616307474	0.933383692526	8557.91506166	0.726108523813
scaffold_0	633622	687	8713.55	8647.0	7288.6	1518.09454498	2304611.0475	1192.0	0.739313592398	0.733667062617	0.618411674868	0.131740773455	0.868259226545	7565.62018346	0.64191584791
scaffold_0	697373	745	8507.8	8240.5	7742.4	1257.88710145	1582279.96	563.0	0.721856439844	0.699176989649	0.656914983879	0.0904494430756	0.909550556924	7738.2742282	0.656564926879
scaffold_0	821164	820	4406.3	3592.5	2523.4	2582.1727692	6667616.21	1436.5	0.373858815544	0.304810792466	0.214101476328	0.381147576966	0.618852423034	2726.84943161	0.231363433872
scaffold_0	875953	857	7283.75	7068.5	6328.8	1546.07502648	2390347.9875	841.0	0.618000169693	0.599736976073	0.536976073307	0.136641839429	0.863358160571	6288.48500206	0.533555489738
scaffold_0	918804	876	3608.95	3099.0	2259.6	1688.48611114	2850985.3475	1033.0	0.306206516206	0.262939080265	0.191718988631	0.162973710985	0.837026289015	3020.78602574	0.256302903932
scaffold_0	937818	886	3832.85	3605.0	1883.6	2171.4154203	4715044.9275	1524.5	0.325203631427	0.305871372815	0.159816731716	0.269530802734	0.730469197266	2799.77886274	0.237551235596
scaffold_0	948672	893	6091.75	5203.5	4595.4	2112.58003103	4462994.3875	741.5	0.516863227558	0.441498387918	0.389903275072	0.255122587029	0.744877412971	4537.60698047	0.384999743803
scaffold_0	959703	898	8808.1	8933.5	7594.8	1372.42992171	1883563.89	917.5	0.747335822162	0.757975564229	0.644391651111	0.107672036021	0.892327963979	7859.71393953	0.666868652599
